N,종목명,현재가,전일비,등락률,액면가,거래량,시가,고가,저가,외국인비율
630.0,우진,8640.0,170.0,+2.01%,500.0,219353.0,8520.0,8640.0,8430.0,1.38
631.0,현대비앤지스틸,11640.0,0.0,0.00%,5000.0,36660.0,11650.0,11730.0,11590.0,4.35
632.0,이지스밸류리츠,4760.0,5.0,-0.10%,1000.0,22309.0,4790.0,4805.0,4740.0,2.28
633.0,KBSTAR KIS국고채30년Enhanced,68390.0,590.0,+0.87%,0.0,122048.0,67455.0,68620.0,66835.0,0.04
634.0,세종공업,6250.0,80.0,-1.26%,500.0,178505.0,6340.0,6340.0,6100.0,2.29
635.0,대한화섬,130500.0,300.0,+0.23%,5000.0,284.0,130700.0,132300.0,130500.0,0.24
636.0,동성제약,6630.0,130.0,+2.00%,1000.0,72966.0,6490.0,6690.0,6490.0,4.79
637.0,계룡건설,19200.0,100.0,-0.52%,5000.0,8877.0,19580.0,19600.0,19150.0,20.41
638.0,TIGER 여행레저,4295.0,60.0,-1.38%,0.0,442876.0,4360.0,4360.0,4280.0,0.0
639.0,ACE 중국본토CSI300,27685.0,115.0,-0.41%,0.0,3486.0,27800.0,27970.0,27525.0,0.02
640.0,태영건설,4390.0,0.0,0.00%,500.0,156774.0,4400.0,4450.0,4355.0,8.5
641.0,효성ITX,14770.0,110.0,+0.75%,500.0,29964.0,14750.0,15010.0,14570.0,0.5
642.0,ACE 베트남VN30(합성),16165.0,345.0,-2.09%,0.0,567672.0,16545.0,16565.0,16135.0,0.05
643.0,KOSEF 단기자금,101880.0,5.0,0.00%,0.0,490.0,101880.0,101890.0,101875.0,0.0
644.0,디씨엠,14770.0,470.0,+3.29%,500.0,76006.0,14570.0,14970.0,14400.0,1.54
645.0,HANARO MSCI Korea TR,13350.0,65.0,+0.49%,0.0,50.0,13370.0,13385.0,13310.0,0.0
646.0,금강공업,5720.0,90.0,-1.55%,1000.0,121335.0,5800.0,5850.0,5720.0,2.03
647.0,동아타이어,12180.0,80.0,-0.65%,500.0,11484.0,12260.0,12270.0,12090.0,2.78
648.0,NH투자증권우,8790.0,20.0,-0.23%,5000.0,11847.0,8830.0,8830.0,8780.0,1.88
649.0,KODEX 미국나스닥100레버리지(합성 H),4630.0,105.0,+2.32%,0.0,647144.0,4600.0,4630.0,4590.0,0.0
650.0,한국패러랠,2060.0,10.0,-0.48%,0.0,65283.0,2080.0,2080.0,2055.0,0.0
651.0,용평리조트,3415.0,30.0,+0.89%,5000.0,43288.0,3385.0,3465.0,3380.0,1.11
652.0,대영포장,1512.0,3.0,+0.20%,500.0,84373.0,1510.0,1516.0,1509.0,0.5
653.0,태경비케이,5940.0,330.0,+5.88%,500.0,5051660.0,5650.0,6130.0,5570.0,1.26
654.0,휴비스,4735.0,45.0,-0.94%,5000.0,24482.0,4780.0,4785.0,4725.0,1.32
655.0,한컴라이프케어,5900.0,20.0,+0.34%,200.0,51953.0,5920.0,5970.0,5840.0,0.33
656.0,삼성물산우B,100100.0,100.0,+0.10%,100.0,2983.0,100600.0,101200.0,99700.0,13.49
657.0,벽산,2375.0,40.0,+1.71%,500.0,174806.0,2360.0,2395.0,2320.0,5.26
658.0,경보제약,6810.0,30.0,+0.44%,500.0,703933.0,6970.0,7740.0,6810.0,1.53
659.0,금호에이치티,830.0,11.0,-1.31%,500.0,598002.0,842.0,845.0,829.0,1.04
660.0,한국주철관,7120.0,30.0,-0.42%,500.0,19085.0,7150.0,7170.0,7110.0,4.6
661.0,KODEX 장기종합채권(AA-이상)액티브KAP,85600.0,40.0,-0.05%,0.0,1317.0,85220.0,85600.0,85055.0,0.0
662.0,동부건설,7050.0,0.0,0.00%,5000.0,50030.0,7050.0,7120.0,7010.0,1.37
663.0,세아특수강,18770.0,230.0,-1.21%,5000.0,122799.0,19120.0,19200.0,18720.0,1.57
664.0,TRUE 인버스 2X 천연가스 선물 ETN(H),1085.0,15.0,-1.36%,0.0,1431772.0,1100.0,1105.0,1080.0,0.0
665.0,삼화페인트,5900.0,80.0,+1.37%,500.0,22472.0,5810.0,5910.0,5780.0,6.39
666.0,KBSTAR iSelect메타버스,7395.0,15.0,-0.20%,0.0,102913.0,7415.0,7475.0,7365.0,0.67
667.0,KTis,4590.0,145.0,-3.06%,500.0,2224343.0,4710.0,4795.0,4585.0,2.37
668.0,현대약품,4980.0,90.0,+1.84%,500.0,175810.0,4890.0,4990.0,4880.0,2.27
669.0,TIGER 글로벌4차산업혁신기술(합성 H),14920.0,70.0,+0.47%,0.0,13501.0,14805.0,14940.0,14805.0,0.11
670.0,KBSTAR IT플러스,16630.0,175.0,+1.06%,0.0,103036.0,16495.0,16655.0,16495.0,0.0
671.0,노루페인트,7920.0,0.0,0.00%,500.0,21511.0,7950.0,7960.0,7880.0,3.61
672.0,인스코비,1403.0,2.0,+0.14%,500.0,294579.0,1398.0,1422.0,1396.0,3.56
673.0,수산중공업,2915.0,10.0,-0.34%,500.0,323043.0,2925.0,2940.0,2905.0,1.66
674.0,퍼스텍,3260.0,15.0,+0.46%,500.0,276497.0,3255.0,3290.0,3240.0,1.0
675.0,태경케미컬,13500.0,320.0,+2.43%,500.0,149554.0,13380.0,13630.0,13210.0,1.44
676.0,신원,1522.0,4.0,-0.26%,500.0,324305.0,1526.0,1542.0,1518.0,2.06
677.0,KODEX TRF3070,10890.0,40.0,-0.37%,0.0,28906.0,10935.0,10935.0,10880.0,0.0
678.0,무학,5450.0,0.0,0.00%,200.0,23685.0,5490.0,5490.0,5390.0,4.16
679.0,신일전자,2185.0,20.0,+0.92%,500.0,452287.0,2170.0,2190.0,2165.0,4.15
680.0,HANARO 200TR,39215.0,85.0,+0.22%,0.0,51.0,39305.0,39340.0,39070.0,0.0
681.0,삼양통상,51000.0,400.0,-0.78%,5000.0,281.0,51500.0,51500.0,50900.0,3.77
682.0,ACE 23-12 회사채(AA-이상)액티브,102605.0,10.0,+0.01%,0.0,53386.0,102600.0,102625.0,102595.0,0.01
683.0,일동홀딩스,13220.0,280.0,-2.07%,1000.0,95261.0,13440.0,13570.0,13020.0,2.3
684.0,NH올원리츠,3610.0,25.0,-0.69%,500.0,52760.0,3635.0,3635.0,3585.0,2.55
685.0,KODEX 23-12 국고채액티브,10115.0,0.0,0.00%,0.0,15103.0,10115.0,10115.0,10110.0,0.0
686.0,KODEX 차이나항셍테크,6105.0,105.0,+1.75%,0.0,879614.0,6095.0,6115.0,5985.0,2.09
687.0,TIGER 글로벌메타버스액티브,6325.0,5.0,+0.08%,0.0,67079.0,6390.0,6430.0,6295.0,0.4
688.0,컨버즈,4100.0,0.0,0.00%,500.0,0.0,0.0,0.0,0.0,0.09
